"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","228746","Otelleri filtrelenen siralamaya gore listeleme","","2026-05-01","passed","2026-05-01","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","298911","Otelleri filtrelenen siralamaya gore listeleme","","2026-05-01","passed","2026-05-01","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","421192","Otelleri filtrelenen siralamaya gore listeleme","","2026-05-01","passed","2026-05-01","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"","156315","Otel rezervasyonu alip odeme ile tamamla ve rezervasyon numarasini kaydet","","2026-05-01","skipped","2026-05-01","","Otel rezervasyon tamamlama senaryolari","Otel rezervasyonu alip odeme ile tamamla ve rezervasyon numarasini kaydet",""
