"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","160441","Otelleri filtrelenen siralamaya gore listeleme","","2026-05-19","failed","2026-05-19","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"","96201","Otel rezervasyonu alip odeme ile tamamla ve rezervasyon numarasini kaydet","","2026-05-19","broken","2026-05-19","","Otel rezervasyon tamamlama senaryolari","Otel rezervasyonu alip odeme ile tamamla ve rezervasyon numarasini kaydet",""
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","336370","Otelleri filtrelenen siralamaya gore listeleme","","2026-05-19","passed","2026-05-19","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","278912","Otelleri filtrelenen siralamaya gore listeleme","","2026-05-19","passed","2026-05-19","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
