"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","49025","Otelleri filtrelenen siralamaya gore listeleme","","2026-04-20","broken","2026-04-20","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"","36188","Otel rezervasyonu alip odeme ile tamamla ve rezervasyon numarasini kaydet","","2026-04-20","broken","2026-04-20","","Otel rezervasyon tamamlama senaryolari","Otel rezervasyonu alip odeme ile tamamla ve rezervasyon numarasini kaydet",""
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","46088","Otelleri filtrelenen siralamaya gore listeleme","","2026-04-20","broken","2026-04-20","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
"  Uygulamada otel ve tur aramasi yapilir, sonuclar farkli kriterlere göre filtrelenir ve siralanir.
  Ayrica detay sayfalari ve buton kontrolleri dogrulanir.","370681","Otelleri filtrelenen siralamaya gore listeleme","","2026-04-20","passed","2026-04-20","","Otel ve Tur Arama - Listeleme, Filtreleme ve Detay Kontrolleri","Otelleri filtrelenen siralamaya gore listeleme",""
